暑热,酷暑
朽迈,年事已高
白天,白昼
省悟,顿悟
孬,窳劣
大展宏图,一试身手
平等,翕然
要不得,不像话
完事,毕其功于一役
忽地,突
侵犯,犯
万死不辞,穷当益坚
昏黑,漆黑
鬼把戏,怪招
搜寻,查找
不独,不仅仅
馈送,赠给
熏蒸,溽暑
紧,燃眉之急
周至,完美
挡住,遮拦
喜,高高兴兴
负,借重
低地,低洼地
损人利己,损公肥私
雅,宝
破灭,远逝
凡,下方
童心,真心
友好,友
有所作为,前程锦绣
装样子,捏腔拿调
儿时,幼时
阔老,财神
无法无天,肆无忌惮
心事,下情
其余,别
小我,自
号子,标记
费事,高难
精壮,铜筋铁骨
摊子,地摊
如火如荼,势如破竹
突兀,猛然间
奉为,正是
立时,顿时
先驱,先辈
全副,浑
激励,刺激
骄横,蛮不讲理
克敌制胜,百战百胜
非同小可,着重
极目,纵目
比照,循
心腹,神秘兮兮
丰茂,芾
衣物,装
间接,拐弯抹角
好说话儿,好声好气
被,拉开
宣布,颁
明,明亮
惹事,无理取闹
莽苍,幽渺
覆灭,片甲不存
赤露,敞露
所有,兼备
来,施行
决不会,不会
雪橇,冰床
即若,即便
长,有增无减
油嘴滑舌,轻嘴薄舌
颠,梢头
爱侣,有情人
诟病,横加指责
操,叙
悲伤,熬心
满,通栏
前途无量,大器晚成
迎合,投其所好
来由,由
同舟共济,众人拾柴火焰高
危楼,拆迁房
有目共睹,活脱脱
泯,冲消
计划,蓝图
菲薄,藐
偌大,特大
责怪,指指点点
巧夺天工,迷你
昂昂,壮志凌云
小子,鼠辈
肩负,承负
白金,足银
燥热,汗如雨下
抵补,上
央告,呈请
暴发户,大款
同,以及
迟疑,首鼠两端
隔断,凝集
考虑,想
不拘,凭
落子,垂落
零,心碎
柔和,温柔
交谊,友情
衬映,相映
毁伤,磨损
龇牙咧嘴,凶狂
饲,豢养
臣,命官
沽,贩卖
拦击,截击
打击,叩击
有如,若
戒律,戒条
底,末日
豹,豹子
结交,相交
排斥,轧
土棍,地头蛇
国色天香,楚楚静立
放虎归山,养痈成患
污染,脏乱
人家,每户
扒窃,盗伐
福地,天府之国
闭眼,闭目
名垂青史,千古不朽
突如其来,猛然间
工巧,神工鬼斧
低高型,高低型
香,香泽
抄,手抄
四下里,四野
叛变,叛逆
庇护,党
萎靡不振,垂头丧气
荷花,莲
称许,许
破,不好
过去,往日
旅,一块
状,状态
銮,铎
软塌塌,绒绒的
耍贫嘴,喋喋不休
法,口径
普,全勤
上上,十全十美
大度,豁达大度
打,搅
岑寂,夜静更深
跋扈,称王称霸
亿万,许许多多
蒙昧,颟顸
尿素,脲
愚懦,唯唯诺诺
混日子,做一天和尚撞一天钟
万分,良
虚报,伪报
公,公正无私
和顺,恭顺
掩盖,庇
上火,发毛
羞,汗颜
红心,诚意
坼,皴裂
妖冶,妖媚
皑皑,白皑皑
备,清一色
朴,仗义
神灵,仙人
策应,里应外合
瞬间,下子
彩头,祥瑞
愧怍,汗颜
身败名裂,臭名远扬
小朋友,毛孩子
结晶,胜利果实
痛快,好好儿
革命,新民主主义革命
怀想,相思
笃厚,恽
去掉,摒
光彩夺目,绚丽夺目
国内,海内
攘夺,争抢
文书,文秘
争斗,战天斗地
鬼祟,潜
栖息,羁
复,故伎重演
飘渺,盲目
现在,于今
老前辈,老辈
理解,亮
低沉,四大皆空
彩色,色彩缤纷
鲁鱼帝虎,大过
积久,铢积寸累
翻身,辗转反侧
兵油子,精兵
徒劳,徒劳无功
漏洞,马脚
整,齐
水笔,聿
不行,可怜
失败,跌交
首度,首家
祖母,奶奶
挺身,不怕牺牲
分裂,崩溃
节俭,刻苦
白,皑皑
始,开班
安置,交待
自制,压
良久,长远
充军,下放
竣,瓜熟蒂落
慌张,张皇失措
自作主张,招摇
曾祖父,曾父
美若天仙,嫣然
适中,有分寸
肥实,膘肥肉厚
艰难竭蹶,坚苦卓绝
令人神往,引人入胜
大概,大致
触须,触手
闹哄哄,蜂拥而上
急,急湍
殉难,授命
祖父,爷爷
胆寒,丧胆
夸赞,歌颂
陈陈相因,半封建
犹疑,趑趄
罪恶昭著,罪该万死
趁早,随着
侵占,强占
悠远,远在天边
视若无睹,秋风过耳
盛,勃勃
排挤,互斥
流露,漾
久病,身患
生疑,疑心
判,显而易见
孰,哪位
旺盛,茸
广漠,无边无际
冠,处女
晚期,季
千金,小姐
欺凌,凌虐
人人自危,惊险万状
一再,几度
五彩纷呈,万紫千红春满园
观点,着眼点
少有,鲜见
雄赳赳,壮怀激烈
缠身,没空
丢脸,奴颜婢膝
阶,墀
投掷,远投
指斥,怪
通,周
无可奈何,有心无力
上行下效,上梁不正下梁歪
惹是生非,作祟
累累,屡次三番
有目共睹,毋庸置疑
称誉,赞许
动摇,沉吟不决
老伴,贤内助
言之有物,切实可行
即令,就
旷日持久,年代久远
育雏,喂
顶用,行
与,在座
挂羊头卖狗肉,仿冒
跳动,跳
力不胜任,望洋兴叹
人心如面,不可同日而语
热门,热点
崩溃,夭折
惊慌,慌里慌张
深透,鞭辟入里
代,时
玩玩,自乐
傲视,自大
千粒重,净重
当口儿,之际
可恶,困人
乳母,嬷嬷
波涌涛起,浩浩荡荡
导源,来
拢共,一总
坚牢,钢铁长城
洁,净化
有限,少于
相,看齐
一齐,齐声
欢快,乐陶陶
搽,外敷
捉住,捕
出阁,妻
知己,如胶似漆
根深蒂固,稳步
点心,茶食
砂子,砂砾
一团和气,驯熟
衮衮,成百上千
怀疑,存疑
木讷,痴呆呆
刻骨铭心,一语破的
烦冗,卷帙浩繁
载歌载舞,隆重
嚼舌,言不及义
开,秉笔直书
泰然处之,处变不惊
只是,然则
上头,者
佯死,装死
崭,佳绩
烧结,粘连
银锭,锡箔
细,微小
而,再者
直截,脆
昏头转向,愚钝
日暮途穷,稀落
明,熠
强逼,逼
山芋,木薯
平素,从古到今
相同,千篇一律
先达,球星
仅仅,惟独
殉职,马革裹尸
高低不平,疙疙瘩瘩
生涩,青
称许,拍手叫好
如临深渊,引狼入室
巨厦,厦
干瘪瘪,空洞无物
一并,偕
漂移,飘忽
诱惑,诱
涨,暴胀
终了,结
留成,留下
团鱼,鳖精
驻屯,驻
穷光蛋,贫困者
惬意,舒舒服服
不敢苟同,不依
朝乾夕惕,刻苦耐劳
早就,就
勇猛,不避艰险
待,虚位以待
萝卜,莱菔
特出,独出心裁
激越,鸣笛
憎恶,会厌
鲁钝,痴呆呆
股骨,股骨头
秋风,抽风
感人,引人入胜
贪,淫心
蒙昧,蚩
黧黑,黑黢黢
居功自傲,好为人师
失色,令人心悸
精妙,细
稀,薄
书桌,办公桌
对,投契
荣,殊荣
掩人耳目,坑蒙拐骗
准时,按期
汉语,国文
风声鹤唳,惶惶不可终日
清寒,冷飕飕
铭肌镂骨,魂牵梦绕
卒,小将
堂皇,堂堂皇皇
明净,澄澈
一意孤行,至死不悟
空幻,虚无飘渺
船,轮
此起彼伏,此起彼落
终了,停当
碰,硌
畏,慑
可以,何尝不可
温文尔雅,曲水流觞
探听,了解
两面,两手
瓷实,经久耐用
赶锥,螺丝起子
简慢,失礼
出名,出马
太阳,红日
决定,裁夺
云蒸霞蔚,树大根深
底,暮
吵,蜂拥而上
通亮,透亮
继往开来,后续
耀眼,灿若群星
池塘,池
汗牛充栋,聚讼纷纭
弓,蜷缩
强有力,雄强
豆乳,豆汁
生死不渝,不懈
春风得意,扬扬自得
形影不离,骨肉相连
通亮,黑亮
登峰造极,典型
难看,面目可憎
纷纭复杂,迷离扑朔
侧压力,上压力
打趣,打趣逗乐
磋商,商量
身患,病魔缠身
市集,场
止息,悬停
酒盅,白
繁多,五花八门
惨败,溃不成军
撒网,网
捣蛋,闹鬼
欣喜若狂,兴高采烈
步步高升,平步青云
采办,选购
越加,一发
求医,求治
迷途知返,摸门儿
上书,教课
紧巴巴,紧巴
亲近,接近
孤,一身
单人独马,孤孤单单
青天白日,白日
天地,世界
无所谓,从心所欲
孜孜以求,起早贪黑
猜谜儿,自忖
新秀,后起之秀
水灵,美味可口
光火,红脸
全,曲尽其妙
儿女,少男少女
清明,晴天
入魔,眩
胃口,谈兴
恼,生闷气
运用自如,熟能生巧
苦英英,艰辛备尝
艰难,千难万难
了结,为止
一身,无依无靠
脑瓜子,首级
发,行文
贮藏,整存
比,对立统一
丝绸,绉
沉静,寂寂
改天,下回
小,偏房
连连,络绎不绝
听说,耳闻
蒙骗,掩人耳目
玉洁冰清,清清白白
时节,际
僵硬,秉性难移
礼节性,象征性
晶亮,亮泽
河,长河
劝导,侑
模拟,取法
饮恨,忍耐力
筹算,计划性
压,扼住
夭,未果
那么些,很多
侵入,入寇
围困,围住
采,综采
乐融融,赏心悦目
鬓角,鬓发
去岁,头年
惧怕,恐惧
倚重,仰承
稀,无几
平安,安外
商榷,共谋
援救,救难
拾掇,缮
五月,五月份
连天,无边无际
如日中天,红红火火
孺,童男童女
鲜明,醒目
或是,指不定
愚妄,有恃无恐
套,摹仿
骁勇,视死如归
蛮横,霸气
旋,打转儿
整,楚楚
园田,庭园
罪行,罪恶
心绪,心怀
什么,哪门子
处之泰然,泰然处之
讨好,谀
成功,到位
专长,拿手戏
惊魂未定,大呼小叫
星期五,周五
不甘示弱,不甘寂寞
苗子,未成年人
红参,太子参
显著,眼看
丑陋,猥
作,作文
漫漫,久
鲜见,十年九不遇
一刹那,霎时间
把稳,四平八稳
根底,底工
无意识,不知不觉
遥远,历久不衰
收录,录取
女人,红装
精选,选萃
露馅儿,暴露无遗
斥退,靠边儿站
上浆,擦亮
营生,事
媾和,和
无心,下意识
酩酊,醉醺醺
小,蝇头
保,承担者
销,撤除
不幸,丧气
受害人,受害者
痛心,悲愤
榨取,搂
慢腾腾,放缓
拷贝,正片
彼,人家
尽管,纵令
响当当,声震寰宇
秘密,机要
消夜,飧
摇曳,摇摇晃晃
祖坟,祖茔
冗杂,乱套
通晓,贯
窳败,掉入泥坑
贩,赎
积年,连年
心静,平心静气
共,联袂
百感丛生,动人心魄
讨便宜,捡便宜
出猎,捕猎
虐政,苛政
揄扬,颂
努力,笨鸟先飞
溘然长逝,碎骨粉身
艰苦卓绝,坚苦卓绝
密,血肉相连
红心,悃
牛气,我行我素
动,动手
咋舌,大惊失色
咋呼,卖弄
叫好,颂
皓,亮晃晃
夸海口,口出狂言
平缓,低缓
效,功效
朝秦暮楚,变化多端
自办,做做
敦实,茁壮
仰仗,依凭
相传,哄传
启衅,兴妖作怪
绚丽多彩,五彩斑斓
遵循,以资
伟,奇伟
豪迈,轰轰烈烈
方便,稳便
展销品,新品
难题,难点
约略,些微
平允,不偏不倚
无家可归者,无业游民
夹击,内外夹攻
机巧,聪明伶俐
推土机,挖掘机
下令,通令
马夫,马倌
坚强,硬气
生色,生光
置之度外,秋风过耳
货,贾
休止,休
悬,荡
稍加,多多少少
音信,音尘
仆,在下
寥寥,漠漠
暗藏,藏匿
盛赞,交口称誉
冷清,萧索
做,抓挠
付,送交
冗杂,散乱
待,看待
编著,爬格子
毕,善终
传播,不胫而走
承受,背
举事,犯上作乱
不动声色,见惯不惊
给予,施
广大,好些
特,奇丽
刃,口
婀娜多姿,多彩多姿
亮堂堂,煌
宽,阔大
钥匙,钥
无事生非,招事
装扮,装
勇猛,万死不辞
懒散,软弱无力
丹青,美工
格外,够呛
草甸子,草野
杰作,神品
皇上,大帝
凶残,残酷无情
堵截,围堵
和气,人和
折桂,蟾宫折桂
冰锥,冰柱
名人,社会名流
劳动力,壮劳力
刚正,纯正
信,翰
何人,何许人也
大元帅,麾下
掉,转过
故,蓄意
托付,寄
哗然,喧声四起
绝活,两下子
蒙骗,诈
面子,皮
祺,万事大吉
鲜,一定量
聒耳,闹哄哄
形影相随,寸步不离
桑榆暮景,中老年
光景,景物
挂念,挂
上进,学好
居,座落
惊心动魄,磨刀霍霍
放肆,目无法纪
穿孝,带孝
放诞,明目张胆
不久,奋勇争先
序言,前言
前夕,前夜
磨灭,化为乌有
老总,新兵
锤炼,字斟句酌
粲然,群星璀璨
数米而炊,家徒四壁
干燥,瘟
强烈,泾渭分明
联系,牵连
逃,跑
病魔,恙
特殊,特出
产生,出
发慌,慌手慌脚
结实,流水不腐
开头,胚胎
天险,虎口
紧,急如星火
敢于,身先士卒
致谢,鸣谢
辙乱旗靡,马仰人翻
友好,交游
绕脖子,高难
捕风捉影,望风捕影
泛泛,抽象
经历,涉
鄙薄,轻蔑
铁甲,老虎皮
流露,露出
篆字,篆
飞轮,飞
雅量,坦坦荡荡
路,径
消解,破灭
父母官,群臣
询,訾
战斗,上阵
薄弱,娇生惯养
既往不咎,从轻
捉住,逮
说谎,撒谎
而今,今日
发奋,埋头苦干
稼,莳
才力,经纶
真性,真人真事
梦想,冀望
情报员,耳目
酷爱,热衷
亡灵,亡魂
龙驹,千里驹
